,0,1,2
1198,Diversity,diversity,3
1199,Diversity,diverse,3
1200,Divide,divide,2
1201,DLG2 gene,chapsyn-110,1
1202,DLG2 gene,PSD-93,3
1203,DLG3 gene,SAP102,1
1204,DLG4 wt Allele,PSD95,4
1205,DNA,DNA,11
1206,dna binding,DNA binding,8
1207,DNA Binding Domain,DNA binding domain,3
1208,DNA Breaks,breaks,1
1209,DNA Damage,DNA damage,3
1210,DNA Fragmentation,DNA fragment,1
1211,DNA glycosylase,urea DNA glycosylase,1
1212,DNA Methylation [PE],DNA methylation,2
1213,DNA Mutational Analysis,mutational analyses,1
1214,DNA polymerase activity,DNA polymerase activity,1
1215,DNA polymerase alpha-primase,DNA polymerase alpha-primase,1
1216,DNA Primase,DNA primase,1
1217,DNA primase activity,DNA primase activity,1
1218,DNA Repair,DNA repair,1
1219,DNA Repair,DNA damage repair,1
1220,DNA Replication,DNA synthesis,2
1221,DNA Replication,DNA replication,7
1222,DNA Sequence,sequences,17
1223,DNA Sequence,DNA sequence,2
1224,DNA Sequence Rearrangement,rearrangement,1
1225,"DNA, Complementary",cDNA,44
1226,"DNA, Complementary",cDNAs,24
1227,"DNA, Double-Stranded",double-stranded DNA,1
1228,DNA-Binding Proteins,DNA binding proteins,1
1229,DNA-Binding Proteins,TDP-43,1
1230,DNA-Directed RNA Polymerase,RNA polymerase,1
1231,DNAH7 gene,DNAH7,2
1232,DNMT1 gene,Dnmt1,6
1233,DNMT1 gene,DNA methyltransferase,1
1234,Dock - Manufactured Object,docks,1
1235,Document Completion - incomplete,incomplete,1
1236,Document type,document,1
1237,Does carry,carries,1
1238,Does steer,steering,1
1239,Does turn (finding),turns,1
1240,Dominant,dominant,5
1241,dominant inheritance,dominant inheritance,1
1242,Dominant-Negative Mutation,dominant-negative,3
1243,Dosage,doses,1
1244,Dosage,dosage,1
1245,Dosing Days to Detection,detect,2
1246,Down Syndrome,Down syndrome,10
1247,Down Syndrome,DS,2
1248,Down-Regulation,down-regulation,7
1249,Down-Regulation,down-regulated,1
1250,Down-Regulation,down-regulating,1
1251,Down-Regulation,downregulation,4
1252,Down-Regulation,Down-regulation,1
1253,Downstream,downstream,8
1254,DPEP1 gene,MBD1,7
1255,DPEP1 gene,Mbd1,1
1256,DPEP3 gene,DPEP3,4
1257,DPEP3 gene,dipeptidase 3,1
1258,DPEP3 gene,Dpep3,3
1259,DPF3 gene,BAF45c,1
1260,"Drosophila <fruit fly, genus>",Drosophila,3
1261,Drosophila melanogaster,Drosophila melanogaster,1
1262,Drug Delivery Systems,drug targeting,1
1263,Drug Design,rational drug design,1
1264,Drug-induced,drug-induced,1
1265,DRUGS,drugs,1
1266,Dual,dual,3
1267,Dual diagnosis (psychiatry),psychiatric diagnoses,1
1268,Duplicate,double,1
1269,Duplicate,duplicates,2
1270,Duplication (finding),duplicated,1
1271,Duplication (finding),duplications,3
1272,Duplication (finding),duplication,1
1273,Duration of menstrual flow,period length,1
1274,dynactin subunit 1,dynactin,8
1275,dynactin subunit 1,Dynactin,1
1276,Dynamic,dynamic,1
1277,Dynamics,dynamics,10
1278,dynein activity,dynein activity,2
1279,Dynein ATPase,dynein,18
1280,Dynein complex,dynein motor complex,1
1281,dynein heavy chain binding,Dynein Heavy chain 7,1
1282,DYRK1A gene,DYRK,6
1283,DYRK1A gene,Dyrk gene,2
1284,DYRK1A gene,DYRK gene,1
1285,DYRK1A gene,Dyrk protein,2
1286,DYRK1A gene,Dyrk1A,9
1287,DYRK1A gene,DYRK1A,17
1288,DYRK1A gene,dual-specificity tyrosine phosphorylation-regulated kinase 1A,1
1289,DYRK1A gene,MNB,1
1290,DYRK1A gene,DYRK1A kinase,1
1291,DYRK1A gene,Dyrk1a,2
1292,DYRK2 gene,DYRK2,1
1293,DYRK3 gene,DYRK3,3
1294,DYSFUNCTION - SKIN DISORDERS,dysfunction,1
1295,e protein,E protein,1
1296,E3 SUMO-Protein Ligase PIAS1,protein interacting,1
1297,Early,early,27
1298,Early lethal,early lethal,1
1299,Early stage,early stages,1
1300,E-Box Elements,E-box,3
1301,E-Cadherin,E-cadherin,1
1302,Ectoderm,ectoderm,1
1303,Ectopic,ectopic,2
1304,Ectopic,Ectopic,1
1305,Edema,oedema,2
1306,Edetic Acid,EDTA,1
1307,Effect,effects of,4
1308,Effect,effects,7
1309,Effect,effect,12
1310,Effect,Cis effects,1
1311,Effect,cis effects,1
1312,Effective,effective,1
1313,Efficacy Study,efficacy,2
1314,Efficiency,efficiency,3
1315,Efficient,efficient,5
1316,EGF Family of Proteins,epidermal growth factor-like domains,1
1317,EGF gene,epidermal growth,1
1318,EGF gene,epidermal growth factor,4
1319,EGF gene,EGF,3
1320,EGF gene,Epidermal growth factor,1
1321,EGFL6 gene,EGF-like,2
1322,"EGFR protein, human",ErbB1,1
1323,EGFR wt Allele,ERBB,2
1324,EIF2B5 wt Allele,CaCh 1,2
1325,EIF2B5 wt Allele,CaCh 2,4
1326,EIF2B5 wt Allele,CaCh 3,2
1327,elastase activity,elastase activity,1
1328,Elastic Fibers,elastic fibres,5
1329,Elastic Fibers,elastic fibre,1
1330,elasticity,elasticity,1
1331,Electroconvulsive Therapy,EST,1
1332,Electron Microscopy,electron microscopy,6
1333,Electrophoretic Mobility Shift Assay,electrophoretic mobility shift assay,1
1334,Electrophysiology (science),electrophysiology,2
1335,Elements,elements,1
1336,Elevated,elevated,5
1337,Elevation,elevation,1
1338,Elicited by,elicit,1
1339,ELN gene,2-Mb Williams-Beuren syndrome,1
1340,ELN gene,WBS,2
1341,ELN gene,elastin,2
1342,ELSPBP1 gene,E12,2
1343,Embryo,embryos,24
1344,Embryo,embryonic day,7
1345,Embryo,embryonic,16
1346,Embryo,mouse embryos,11
1347,Embryo,Embryos,2
1348,Embryo,embryo,6
1349,Embryo,mouse embryo,4
1350,Embryo,E,3
1351,Embryo,mouse embryonic,1
1352,Embryo,Mouse embryos,1
1353,EMBRYONAL CELL CARCINOMA,embryonal carcinoma cell line,1
1354,Embryonic brain,embryonic brain,1
1355,Embryonic Cell,embryonic cell,1
1356,Embryonic Development,embryogenesis,10
1357,Embryonic Development,embryonic development,10
1358,Embryonic Development,murine embryogenesis,1
1359,Embryonic Development,mouse embryogenesis,2
1360,Embryonic heart,Embryonic mouse heart,1
1361,Embryonic heart,embryonic heart,3
1362,Embryonic heart,embryonic hearts,1
1363,Embryonic Lethal Mutation,embryonic lethal,3
1364,Embryonic Nervous System,embryonic nervous system,1
1365,Embryonic Stem Cells,ES,3
1366,Embryonic Stem Cells,embryonic stem,2
1367,Embryonic Stem Cells,embryonic stem cells,5
1368,Embryonic Stem Cells,ESCs,2
1369,Embryonic tissue,embryonic tissues,1
1370,Emericella nidulans allergenic extract,Aspergillus nidulans,2
1371,emotional dependency,dependency,1
1372,Encephalomyocarditis virus,encephalomyocarditis,1
1373,Encode (action),encode,5
1374,Encode (action),encoded,1
1375,Encode (action),encoding,2
1376,Encode (action),gene encoding,1
1377,Encounter due to puberty,puberty,1
1378,Encounter due to vagabond status,transients,1
1379,End,ends,2
1380,Endocardium Specimen Code,endocardium,1
1381,Endocervical Route of Drug Administration,EC,1
1382,Endocrine Cells,endocrine cells,1
1383,Endocytosis,endocytosis,5
1384,endodeoxyribonuclease III activity,Endonuclease III,1
1385,Endoderm,endoderm,4
1386,Endogenous,endogenous,23
1387,Endogenous,Endogenous,2
1388,Endopeptidase K,proteinase K,1
1389,Endoplasmic Reticulum,endoplasmic reticulum,1
1390,Endosomes,endosomes,1
1391,endothelial cell migration,endothelial cell migration,2
1392,endothelial cell proliferation,endothelial cell proliferation,2
1393,Endothelial Cells,endothelial cells,24
1394,Endothelial Cells,Endothelial cells,1
1395,Endothelial Cells,ECs,2
1396,Endothelial Cells,endothelial cell,3
1397,Endothelial Cells,endothelial cell lines,1
1398,Endothelium,endothelium,1
1399,Endothelium,endothelial,1
1400,energy homeostasis,energy homeostasis,1
1401,Energy Metabolism,energy expenditure,1
1402,Energy Metabolism,energy metabolism,2
1403,Enhance (action),enhanced,11
1404,Enhance (action),enhance,2
1405,Enhance (action),enhances,7
1406,Enhance (action),Enhanced,1
1407,Enhancer brand,enhancer,1
1408,Enhancer of transcription,enhancers,1
1409,enrich,enrich,1
1410,Entity,entity,1
1411,Entity Determiner - specific,specific,2
1412,Entity Name Part Type - family,family,23
1413,Entry (data),entry,2
1414,"env Gene Products, Human Immunodeficiency Virus",human immunodeficiency virus envelope protein,1
1415,Environment,environment,2
1416,Environment,native environment,1
1417,Enzymatic Activity [MoA],enzymatic activity,4
1418,enzyme activity,enzyme activity,1
1419,Enzyme Assays,enzyme assays,1
1420,Enzyme-Linked Immunosorbent Assay,Enzyme-linked immunosorbent,1
1421,Enzymes,enzyme,13
1422,Enzymes,enzyme heme,1
1423,"Enzymes, hematological",enzymes,7
1424,EP300 gene,p300,7
1425,EPHB2 wt Allele,ERK,2
1426,Epiblast,epiblast,1
1427,Epidermal Growth Factor Receptor,epidermal growth factor receptor 4,1
1428,Epidermal Growth Factor Receptor Pathway Substrate 15,Eps15,2
1429,Epidermal Growth Factor Receptor Pathway Substrate 8,EPS8,1
1430,Epidermis,epidermis,1
1431,Epiphysial cartilage,epiphyseal growth plate,1
1432,epithelial,epithelial,1
1433,epithelial,epithelia,1
1434,epithelial cell morphogenesis,epithelial morphogenesis,1
1435,Epithelial cell of renal tubule,renal cell line,1
1436,Epithelial Cells,epithelial cells,10
1437,Epithelial hyperplasia,epithelial hyperplasia,1
1438,Epithelial proliferation,epithelial proliferation,1
1439,epithelial to mesenchymal transition,epithelial-mesenchymal,1
1440,Epithelioma,epithelial tumors,1
1441,Epithelium,epithelium,5
1442,Epitopes,epitope,1
1443,Equal,equivalent,2
1444,Equilibrium,balance,2
1445,Equilibrium,balancing,1
1446,Equilibrium,equilibrium,1
1447,Equivalent Weight,equivalents,1
1448,ErbB Receptors,erbB family,1
1449,ErbB Receptors,epidermal growth factor receptor family,1
1450,ErbB Receptors,epidermal growth factor receptor family member,2
1451,ErbB Receptors,ErbB family,1
1452,erbB-2 Receptor,erbB2,2
1453,erbB-2 Receptor,ErbB2,1
1454,ERBB3 gene,erbB3,3
1455,ERBB3 gene,ErbB3,2
1456,ERBB4 gene,ErbB4 gene,1
1457,ERBB4 gene,erbB4 gene,2
1458,ERBB4 Signaling Pathway,ErbB4 signaling,3
1459,EREG gene,epiregulin,1
1460,Erg - unit of measure,ERG,1
1461,Erythroid,erythroid,1
1462,Erythroid Cells,erythroid cells,1
1463,Erythropoiesis,erythrocyte differentiation,1
1464,Escherichia coli,Escherichia coli,3
1465,Escherichia coli,E. coli,2
1466,Escherichia coli,E.coli,1
1467,Essential,essential,24
1468,establishment and maintenance of localization,localization,28
1469,establishment and maintenance of localization,Localization,1
1470,establishment and maintenance of localization,colocalization,6
1471,establishment and maintenance of localization,site localization,1
1472,ESTERASE C,ESC,3
1473,Estrogen Receptors,estrogen receptor,1
1474,Estrogens,estrogen,1
1475,Estrogens,oestrogen,1
1476,Etiology,etiology,4
1477,Euchromatin,euchromatin,1
1478,Euchromatin,euchromatin protein,1
1479,Eukaryota,eukaryotes,2
1480,"Eukaryotic Translation Initiation Factor 4E, human",eIF4E,1
1481,Evaluation,evaluated,1
1482,Evaluation,evaluate,1
1483,Event Consequence - Death,death,2
1484,Evidence,evidence,19
1485,Evidence,Evidence,1
1486,Examined,examined,1
1487,Exception - Property or Attribute,exception,1
1488,Excessive,excessive,4
1489,Excitation Contraction Coupling,excitation-contraction coupling,1
1490,Excitatory Postsynaptic Currents,mEPSCs,1
1491,Excitatory Synapse,excitatory synapses,3
1492,Excretory function,elimination,3
1493,Exercise Pain Management,exercise,1
1494,Exist,exist,1
1495,EXOC6 gene,Sec15l1,1
1496,Exocytosis,exocytosis,1
1497,Exodeoxyribonuclease V,ATP-dependent,1
1498,Exogenous,exogenous,3
1499,Exogenous,Exogenous,1
1500,Exons,exons,10
1501,Exons,exon 1,1
1502,Exons,exon 2,1
1503,Exons,exon,2
1504,Expectation,expectation,1
1505,expense,expense,1
1506,expense,expense of,1
1507,Experience,experience,1
1508,Experimental Organism Aborted,aborted,1
1509,Experimental Result,result,1
1510,explanation,explanation,1
1511,export,export,1
1512,Exposure to,exposed to,1
1513,Exposure to,exposure to,1
1514,Expressed Sequence Tags,ESTs,1
1515,Expression procedure,expression,164
1516,Expression procedure,Expression,18
1517,Expression procedure,D expression,1
1518,expression vector,expression vector,5
1519,Extent,extends,1
1520,Extracellular,extracellular region,2
1521,Extracellular,extracellular part,2
1522,Extracellular,extracellular side,1
1523,Extracellular Domain,extracellular domain,7
1524,Extracellular Domain,extracellular domains,1
1525,Extracellular Domain,intracellular domain,1
1526,Extracellular Matrix,extracellular matrix,2
1527,Extracellular Matrix Degradation,extracellular matrix degradation,1
1528,Extracellular Matrix Proteins,extracellular matrix proteins,1
1529,Extracellular Protein,extracellular protein,2
1530,Extraction,removal,3
1531,Extraembryonic membranes,extraembryonic,1
1532,Extrinsic,outer,3
1533,Extrinsic,outside,1
1534,Eye - Retina (MMHCC),mouse retina,1
1535,FABP4 wt Allele,AP2,4
1536,Face,faces,1
1537,Face (spatial concept),face,2
1538,Facilitation,facilitation,1
1539,F-Actin,F-actin,1
1540,Factor,Determinants,1
1541,Factor,determinant,1
1542,Factor,determinants,2
1543,failed,fails,3
1544,Failure (biologic function),failure,2
1545,FAK Family Tyrosine Kinase,tyrosine kinase family,1
1546,Family,gene families,1
1547,Family,families,3
1548,Family Dasypodidae,Armadillo,1
1549,Family history of hereditary disease,genetic diseases,2
1550,Family member,family members,4
1551,Family member,family member,1
1552,Fanconi anaemia nuclear complex,nuclear complex,1
1553,FAS-AS1 gene,SAF,1
1554,Fasting,fasting,1
1555,Fat-Restricted Diet,low-fat diet,1
1556,fatty acid metabolism,fatty acid metabolism,1
1557,Fatty Acids,fatty acids,1
1558,FBXL21 gene,FBXL21,1
1559,FBXL21 gene,Fbxl21 gene,1
1560,FBXL3 gene,FBXL3,2
1561,FBXL3 gene,Fbxl3,1
1562,FBXO2 gene,F-box protein,1
1563,Feature,features,3
1564,feeding of newborn,feeding,1
1565,Feeling upset,UpSET,1
1566,Femto,F,1
1567,"Fermitin Family Homolog 2, human",Kindlin-2,4
1568,FERROCHELATASE,ferrochelatase,1
1569,"Ferrum metallicum, Homeopathic preparation",iron,3
1570,Fertility,fertile,4
1571,Fertility Domain,fertility,7
1572,Fetal development of the mammalian embryo or fetus,fetal development,1
1573,FGF1 gene,endothelial cell growth,1
1574,FGF1 gene,endothelial cell growth factor,1
1575,"FGF10 protein, human",FGF-10,1
1576,FGF23 gene,FGF23,7
1577,"FGF7 protein, human",FGF-7,1
1578,FGFR1 gene,fibroblast growth factor receptor 1,2
1579,FGFR1 gene,fgfr-1,2
1580,FGFR1 gene,H3,7
1581,"FGFR1 protein, human",FGFR1,30
1582,"FGFR1 protein, human",FgfR1,1
1583,FGFR1 wt Allele,FLG,1
1584,"FGFR2 protein, human",FGFR2,1
1585,"FGFR3 protein, human",FGFR3,1
1586,FGG gene,fibrinogen gamma chain,1
1587,Fibrillins,fibrillins,1
1588,Fibrinogen,fibrinogen,2
1589,Fibroblast Growth Factor,fibroblast growth factor,6
1590,Fibroblast Growth Factor,FGF,29
1591,Fibroblast Growth Factor,FGFs,4
1592,Fibroblast Growth Factor,murine fibroblast growth factor,1
1593,Fibroblast Growth Factor,fibroblast growth factors,1
1594,Fibroblast Growth Factor,Fibroblast growth factors,1
1595,Fibroblast Growth Factor,Fibroblast growth factor,1
1596,Fibroblast Growth Factor 2,bFGF,4
1597,Fibroblast Growth Factor 2,FGF-2,15
1598,Fibroblast Growth Factor 2,fibroblast growth factor-2,1
1599,Fibroblast Growth Factor 2,Basic fibroblast growth factor,1
1600,Fibroblast Growth Factor 21 Measurement,Fibroblast growth factor 21,1
1601,Fibroblast Growth Factor 21 Measurement,FGF21,4
1602,Fibroblast Growth Factor 21 Measurement,FGF21 activity,2
1603,Fibroblast Growth Factor Receptors,fibroblast growth factor receptor,1
1604,Fibroblast Growth Factor Receptors,bFGF-R,3
1605,Fibroblast Growth Factor Receptors,chick FGF receptor,1
1606,Fibroblast Growth Factor Receptors,FGF receptor,2
1607,Fibroblast Growth Factor Receptors,FGF receptors,4
1608,Fibroblast Growth Factor Receptors,fibroblast growth factor receptor-1,1
1609,Fibroblast Growth Factor Receptors,FGFR,2
1610,fibroblast growth factor-1,FGF-1,1
1611,Fibronectin Type III Domain,fibronectin type III domains,2
1612,Fibronectin Type III Domain,fibronectin type III,1
1613,Fibronectin Type III Domain,fibronectin type 3 domain,1
1614,Fibronectins,fibronectin,2
1615,Fibrosis,fibrosis,1
1616,Fibula,fibula,1
1617,Figs - dietary,FIG,1
1618,filamentous actin location,filamentous actin,1
1619,Filamin C,filamin C,5
1620,Filamin C,FLNC,2
1621,Filamins,filamin,5
1622,Filamins,filamins,1
1623,Firm,firm,1
1624,Flank (surface region),gene flanking,1
1625,Flank (surface region),flanking,2
1626,Flexible,flexible,1
1627,"FLNA protein, human",filamin-A,1
1628,FLNC gene,Flnc,1
1629,"FLNC protein, human",filamin-C,1
1630,Flow Cytometry,flow cytometry,1
1631,Flow Cytometry,Flow cytometry,1
1632,Flow Rate,FLRT,5
1633,FLRT1 gene,FLRT1,1
1634,FLRT2 gene,FLRT2,1
1635,FLRT3 gene,FLRT3,3
1636,Fluorescence,Fluorescence,1
1637,Fluorescent in Situ Hybridization,FISH,1
1638,Fluorescent stain,Fluorescent,1
1639,FMR1 gene,FMR1 gene,1
1640,"FMR1 protein, human",fragile X mental retardation protein,2
1641,"FMR1 protein, human",FMRP,11
1642,Focal,foci,1
1643,Focal Adhesion Kinase 1,FAK,7
1644,Focal Adhesion Kinase 1,focal adhesion kinase,1
1645,Focal Adhesions,focal contacts,1
1646,Focal Adhesions,focal adhesion,1
1647,Focal Adhesions,focal adhesion protein,1
1648,Focal Adhesions,focal adhesions,3
1649,Folded structure,folds,1
1650,FOLH1 gene,Prostate Specific Membrane Antigen,1
1651,FOLH1 gene,PSMA,3
1652,FOLH1 gene,FOLH1,1
1653,FOLH1 gene,Folh1,6
1654,FOLH1 gene,NAALADase,2
1655,FOLH1 gene,folate hydrolase,1
1656,Force,Forced,1
1657,Forced,forcing,1
1658,forebrain development,forebrain development,1
1659,Forkhead Box Protein O4,Foxo4,3
1660,Formation,formation,30
1661,FOS gene,c-Fos,1
1662,Fourier Analysis,Fourier analysis,1
1663,FOXD3 wt Allele,genesis,1
1664,FOXK1 gene,Foxk1,5
1665,FOXO Family,Foxo,1
1666,FOXP3 gene,Foxp3,5
1667,FOXP3 gene,FOXP3,1
1668,FOXP3 protein,Foxp3 protein,1
1669,f-protein,protein F,1
1670,Fraction of,fractions,2
1671,Fraction of,fraction,1
1672,Fragile X Syndrome,Fragile X Syndrome,1
1673,Fragment of (qualifier value),PS fragments,1
1674,Fragments,fragments,1
1675,Fragments,fragment,1
1676,Frequencies (time pattern),frequencies,1
1677,Frequently,frequent,1
1678,Friedreich Ataxia,Friedreich\'s ataxia,3
1679,Friedreich Ataxia,FRDA,10
1680,Friedreich Ataxia,Friedreich ataxia,4
1681,Frizzled Receptors,frizzled2 receptor,1
1682,frontal lobe,frontal cortex,1
1683,"FRS2 protein, human",FRS2,3
1684,Fuhrman Grade 1,G1,2
1685,fully spanning the plasma membrane,transmembrane,2
1686,fumarate,fumarate,2
1687,Function,functions,30
1688,Functional,functional,38
1689,Functional,functioning,1
1690,Functional behavioral assessment,Functional analysis,1
1691,Functional Laterality,functionality,1
1692,Functional Map,map,1
1693,Fungal,fungi,1
1694,Fungal,fungal,1
1695,Fused,fused,4
1696,Fusion procedure,fusion,1
1697,Fusion procedure,fusions,2
1698,Fusion protein,fusion protein,1
1699,Fusion protein,fusion proteins,1
1700,FXN gene,Frataxin,3
1701,FXN gene,frataxin,20
1702,FXN gene,Fxn,4
1703,FXN gene,FXN,1
1704,FYN gene,Fyn,1
1705,FYN wt Allele,SLK,1
1706,"FZD2 protein, human",Fzd2,1
1707,G1 to S Transition Process,G1/S transition,1
1708,GABA-A Receptor,GABA(A) receptor,1
1709,Gamma - unit of measure,gamma,5
1710,Gamma - unit of measure,IFNgamma,4
1711,gamma-Secretase,gamma-secretases,1
1712,gamma-Secretase,gamma-secretase binding,1
1713,gamma-secretase complex,gamma-secretase complex,1
1714,Gamma-Secretase Subunit PEN-2,presenilin enhancer,1
1715,gamma-Tubulin,gamma-tubulin,4
1716,Ganciclovir,DHPG,1
1717,Gastrointestinal tract structure,gastrointestinal tract,3
1718,Gastrulation,gastrulating,1
1719,Gastrulation,gastrulation,4
1720,"GDF15 protein, human",NRG-1,2
1721,Gel,gels,1
1722,Gel Chromatography,gel filtration,2
1723,Gel Chromatography,exclusion chromatography,1
1724,GenBank,GenBank,1
1725,Gene Activation,gene activation,2
1726,Gene Deletion,Deletions,1
1727,Gene Deletion,deletions,5
1728,Gene Deletion,gene deletion,1
1729,Gene Deletion Abnormality,deletion,20
1730,Gene Duplication,gene duplication,1
1731,Gene Enrichment Probability,enrichment of,1
1732,Gene Expression,gene expression,19
1733,Gene Expression,Gene expression,1
1734,Gene Expression Regulation,gene regulation,1
1735,Gene Expression Regulation,genetic control,1
1736,Gene Feature,gene organization,1
1737,gene induction,gene induction,1
1738,Gene Knockdown Techniques,knockdown,12
1739,Gene Knockdown Techniques,Knockdown,2
1740,Gene Mutation,gene mutations,1
1741,"Gene Products, vif",gene products,3
1742,Gene Rearrangement,genomic rearrangements,1
1743,Gene Regulatory Networks,transcriptional networks,2
1744,Gene Regulatory Networks,Gene regulatory networks,1
1745,Gene Regulatory Networks,transcriptional network,1
1746,Gene Regulatory Networks,genetic network,1
1747,Gene Silencing,silencing,1
1748,Gene Silencing,Silencing,3
1749,Gene Silencing,genetic inactivation,1
1750,Gene Targeting,gene targeting,4
1751,Generation (action),generation,6
1752,Genes,gene,34
1753,Genes,genes,77
1754,Genes,Gene 1,1
1755,"Genes, Developmental",developmental genes,4
1756,"Genes, Immunoglobulin",immunoglobulin reporter gene,1
1757,"Genes, Reporter",reporter gene,8
1758,"Genes, Switch",switching,1
1759,Genetic,genetic,2
1760,Genetic Analysis,genetic analysis,1
1761,Genetic Hotspot,hotspot,1
1762,genetic linkage,linkages,1
1763,genetic linkage,linkage,1
1764,genetic manipulation,genetic manipulations,1
1765,Genetic Polymorphism,polymorphisms,2
1766,Genetic Translation Process,translational,1
1767,Genome,genome,6
1768,Genome Assembly Sequence,genome assembly,1
1769,Genomic DNA,genomic DNA,2
1770,Genomic Instability,genome instability,1
1771,Genomic Instability,genomic instability,1
1772,Genomic Library,mouse genomic library,1
1773,Genomic Stability,genomic stability,2
1774,Genomics,genomic,1
1775,genotoxicity,genotoxicity,1
1776,Genotype,genotypes,1
1777,Genus Aria,ARIA,8
1778,Genus Danio,Danio,1
1779,geographic population,populations,2
1780,geographic population,population,2
1781,Geographic state,states,2
1782,germ cell development,germ-cell development,1
1783,Germ Cells,germ-line,1
1784,Germ Cells,germ cells,1
1785,germinal center formation,germinal center formation,1
1786,Germline,germline,2
1787,Germ-Line Mutation,germ-line mutation,1
1788,GIT1 gene,GIT1,1
1789,GLI3 gene,DNA-binding protein,2
1790,GLI3 gene,DNA-binding,1
1791,Glioblastoma Multiforme,glioblastoma multiformes,1
1792,Glioma,glioma,1
1793,Global,Global,1
1794,Global,global,1
1795,Glucocorticoid Receptor,glucocorticoid receptor,6
1796,Glucocorticoid Receptor,GR,5
1797,glucocorticoid receptor-interacting protein 1,glucocorticoid receptor interacting protein 1,1
1798,glucocorticoid receptor-interacting protein 1,protein transcription intermediary factor 2,1
1799,glucocorticoid receptor-interacting protein 1,TIF2,3
1800,glucocorticoid receptor-interacting protein 1,SRC-2,11
1801,glucocorticoid receptor-interacting protein 1,hepatic steroid receptor coactivator 2,1
1802,Glucocorticoids,glucocorticoid,1
1803,Glucocorticoids,glucocorticoid action,1
1804,Glucocorticoids,glucocorticoids,1
1805,Glucocorticoids,glucocorticoid signal,1
1806,Glucose,glucose production,1
1807,Glucose measurement,glucose,3
1808,glucose uptake,glucose uptake,2
1809,GLUCOSE-6-PHOSPHATASE,Glucose-6-phosphatase,1
1810,GLUCOSE-6-PHOSPHATASE,G6Pase,2
1811,Glutamate,glutamate,1
1812,Glutamate Carboxypeptidase II,folate hydrolase I,1
1813,"glutamate carboxypeptidase II, human",gamma-glutamyl carboxypeptidase,1
1814,Glutathione S-Transferase,Glutathione S-transferase,1
1815,Glutathione S-transferase measurement,GST,1
1816,Glycogen Storage Disease Type I,Von Gierke\'s disease,2
1817,Glycogen storage disease type II,GAA,1
1818,glycogen synthase kinase 3 beta,GSK-3beta,2
1819,glycogen synthase kinase 3 beta,GSK-3beta (,1
1820,glycogen synthase kinase 3 beta,GSK3beta,2
1821,Glycogen Synthase Kinases,glycogen synthase kinase,1
1822,Glycoproteins,glycoprotein,1
1823,Golgi Apparatus,Golgi,1
1824,Golgi Apparatus,Golgi complex,1
1825,Golgi Apparatus,Golgi apparatus,2
1826,GOLPH3 gene,Golgi-associated protein,1
1827,GOPC gene,GOPC,1
1828,GOPC wt Allele,PIST,1
1829,G-Protein-Coupled Receptors,G-protein-coupled receptors,2
1830,G-Protein-Coupled Receptors,G protein-coupled receptors,1
1831,"GPS2 protein, human",G-Protein Pathway Suppressor 2,1
1832,"GPS2 protein, human",GPS2,3
1833,gram,G,6
1834,Granulocyte component of blood,granulocytes,1
1835,GRB14 gene,Grb14,7
1836,GRB2 gene,Grb2,3
1837,GRB2 gene,Grb,1
1838,Greek letter alpha (qualifier value),alpha,6
1839,Greek letter rho,Rho,1
1840,Green Fluorescent Proteins,green fluorescent protein,1
1841,Green Fluorescent Proteins,green fluorescence protein,1
1842,GRIA1 gene,GluR1,2
1843,GRIA2 gene,GluRB,2
1844,GRIK1 gene,GluR5,1
1845,GRIP1 gene,Glutamate receptor interacting protein,1
1846,GRIP1 gene,GRIP,3
1847,GRM6 wt Allele,mGluR6,1
1848,Gross (qualifier value),gross,1
1849,Groups,group,2
1850,Growth,mouse embryonic growth,1
1851,Growth action,growth,8
1852,Growth Cones,growth cone,1
1853,Growth Factor,growth factors,3
1854,Growth Factor,growth factor,3
1855,Growth Factor,GF,1
1856,growth factor receptor-bound protein 10,Grb10,1
1857,Growth Factor Receptor-Bound Protein 7,Grb7,7
1858,Growth Factor Receptors,growth factor receptors,2
1859,Growth Factor Receptors,growth factor receptor,1
1860,Growth Factor Receptors,Growth factor receptor,1
1861,growth hormone activity,growth hormone,2
1862,Growth rate,growth rate,1
1863,Growth retardation,growth retardation,1
1864,Growth retardation,growth retarded,1
1865,GSK1210151A,GSK1210151A,1
1866,GTF2I gene,Gtf2i,10
1867,GTF2I gene,GTF2I,6
1868,GTF2I gene,general transcription factor II-I,1
1869,GTF2I gene,BAP-135,1
1870,GTF2I gene,TFII-I,7
1871,GTF2IP1 gene,GTF2IP1,1
1872,GTF2IRD1 gene,GTF2IRD1,2
1873,GTF2IRD1 gene,Gtf2ird1,4
1874,GTPase-Activating Proteins,GTPase activating protein,1
1875,Guanine Nucleotide Exchange Factors,exchange factor,1
1876,Guanine Nucleotide Exchange Factors,guanine nucleotide exchange region,1
1877,Guanosine Triphosphate,guanosine triphosphate,1
1878,Guanosine Triphosphate Phosphohydrolases,GTPase,2
1879,Guanosine Triphosphate Phosphohydrolases,GTPases,2
1880,Guanosine Triphosphate Phosphohydrolases,guanosine triphosphate hydrolases,1
1881,guidance - Measure Attribute,guidance,2
1882,Gut,gut,2
1883,H19 gene,H19,2
1884,Hair follicle structure,hair follicle,1
1885,Half-Life,half-life,2
1886,Half-Life,protein half-life,2
1887,Hamartoma,hamartomas,1
