text,Canonical Name,Concept ID,TUI(s),Score,start,end
mutational analyses,DNA Mutational Analysis,C0012878,"T059,T063",0.890845,52905,52907
DNA polymerase activity,DNA polymerase activity,C2247629,T045,1,7183,7186
DNA polymerase alpha-primase,DNA polymerase alpha-primase,C0762677,"T116,T126",1,7316,7319
DNA primase,DNA Primase,C0058594,"T116,T126",1,7366,7368
DNA primase activity,DNA primase activity,C1152389,T045,1,7192,7195
DNA repair,DNA Repair,C0012899,T045,1,12051,12053
DNA damage repair,DNA Repair,C0012899,T045,1,61816,61819
DNA synthesis,DNA Replication,C0598312,T045,1,1785,1787
DNA replication,DNA Replication,C0598312,T045,1,3537,3539
DNA replication,DNA Replication,C0598312,T045,1,3626,3628
DNA synthesis,DNA Replication,C0598312,T045,1,7396,7398
DNA replication,DNA Replication,C0598312,T045,1,13015,13017
DNA replication,DNA Replication,C0598312,T045,1,17464,17466
DNA replication,DNA Replication,C0598312,T045,1,56438,56440
DNA replication,DNA Replication,C0598312,T045,1,60238,60240
DNA replication,DNA Replication,C0598312,T045,1,70291,70293
sequences,DNA Sequence,C0162326,T086,1,59,60
sequences,DNA Sequence,C0162326,T086,1,472,473
sequences,DNA Sequence,C0162326,T086,1,894,895
sequences,DNA Sequence,C0162326,T086,1,902,903
sequences,DNA Sequence,C0162326,T086,1,1876,1877
sequences,DNA Sequence,C0162326,T086,1,2195,2196
sequences,DNA Sequence,C0162326,T086,1,2346,2347
DNA sequence,DNA Sequence,C0162326,T086,1,2357,2359
sequences,DNA Sequence,C0162326,T086,1,4169,4170
sequences,DNA Sequence,C0162326,T086,1,7282,7283
DNA sequence,DNA Sequence,C0162326,T086,1,12444,12446
sequences,DNA Sequence,C0162326,T086,1,13055,13056
sequences,DNA Sequence,C0162326,T086,1,13432,13433
sequences,DNA Sequence,C0162326,T086,1,22860,22861
sequences,DNA Sequence,C0162326,T086,1,26807,26808
sequences,DNA Sequence,C0162326,T086,1,30552,30553
sequences,DNA Sequence,C0162326,T086,1,30638,30639
sequences,DNA Sequence,C0162326,T086,1,35311,35312
sequences,DNA Sequence,C0162326,T086,1,44792,44793
rearrangement,DNA Sequence Rearrangement,C1511695,T045,1,61272,61273
cDNA,"DNA, Complementary",C0006556,T114,1,64,65
cDNA,"DNA, Complementary",C0006556,T114,1,331,332
cDNA,"DNA, Complementary",C0006556,T114,1,515,516
cDNA,"DNA, Complementary",C0006556,T114,1,956,957
cDNA,"DNA, Complementary",C0006556,T114,1,1026,1027
cDNA,"DNA, Complementary",C0006556,T114,1,1051,1052
cDNA,"DNA, Complementary",C0006556,T114,1,1214,1215
cDNA,"DNA, Complementary",C0006556,T114,1,1237,1238
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,1343,1344
cDNA,"DNA, Complementary",C0006556,T114,1,1654,1655
cDNA,"DNA, Complementary",C0006556,T114,1,1713,1714
cDNA,"DNA, Complementary",C0006556,T114,1,1806,1807
cDNA,"DNA, Complementary",C0006556,T114,1,2201,2202
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,2567,2568
cDNA,"DNA, Complementary",C0006556,T114,1,2638,2639
cDNA,"DNA, Complementary",C0006556,T114,1,2808,2809
cDNA,"DNA, Complementary",C0006556,T114,1,3802,3803
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,4146,4147
cDNA,"DNA, Complementary",C0006556,T114,1,4497,4498
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,4689,4690
cDNA,"DNA, Complementary",C0006556,T114,1,5215,5216
cDNA,"DNA, Complementary",C0006556,T114,1,5828,5829
cDNA,"DNA, Complementary",C0006556,T114,1,5919,5920
cDNA,"DNA, Complementary",C0006556,T114,1,6323,6324
cDNA,"DNA, Complementary",C0006556,T114,1,6417,6418
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,6985,6986
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,7210,7211
cDNA,"DNA, Complementary",C0006556,T114,1,7711,7712
cDNA,"DNA, Complementary",C0006556,T114,1,7719,7720
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,7842,7843
cDNA,"DNA, Complementary",C0006556,T114,1,9440,9441
cDNA,"DNA, Complementary",C0006556,T114,1,9446,9447
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,10906,10907
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,11230,11231
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,11241,11242
cDNA,"DNA, Complementary",C0006556,T114,1,12076,12077
cDNA,"DNA, Complementary",C0006556,T114,1,12091,12092
cDNA,"DNA, Complementary",C0006556,T114,1,12134,12135
cDNA,"DNA, Complementary",C0006556,T114,1,12361,12362
cDNA,"DNA, Complementary",C0006556,T114,1,12922,12923
cDNA,"DNA, Complementary",C0006556,T114,1,12930,12931
cDNA,"DNA, Complementary",C0006556,T114,1,12951,12952
cDNA,"DNA, Complementary",C0006556,T114,1,14082,14083
cDNA,"DNA, Complementary",C0006556,T114,1,14089,14090
cDNA,"DNA, Complementary",C0006556,T114,1,14888,14889
cDNA,"DNA, Complementary",C0006556,T114,1,16937,16938
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26775,26776
cDNA,"DNA, Complementary",C0006556,T114,1,26812,26813
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26845,26846
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26868,26869
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26888,26889
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26894,26895
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26906,26907
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,26932,26933
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,27280,27281
cDNA,"DNA, Complementary",C0006556,T114,1,27377,27378
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,27398,27399
cDNA,"DNA, Complementary",C0006556,T114,1,29538,29539
cDNA,"DNA, Complementary",C0006556,T114,1,30470,30471
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,30481,30482
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,30596,30597
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,30647,30648
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,30821,30822
cDNA,"DNA, Complementary",C0006556,T114,1,30921,30922
cDNA,"DNA, Complementary",C0006556,T114,1,33225,33226
cDNA,"DNA, Complementary",C0006556,T114,1,35265,35266
cDNAs,"DNA, Complementary",C0006556,T114,0.857871,35415,35416
cDNA,"DNA, Complementary",C0006556,T114,1,35442,35443
double-stranded DNA,"DNA, Double-Stranded",C0311474,"T114,T123",1,3905,3907
DNA binding proteins,DNA-Binding Proteins,C0012940,"T116,T123",1,20992,20995
TDP-43,DNA-Binding Proteins,C0012940,"T116,T123",0.850011,65256,65257
RNA polymerase,DNA-Directed RNA Polymerase,C0035681,"T116,T126",1,23853,23855
DNAH7,DNAH7 gene,C1425687,T028,1,70039,70040
DNAH7,DNAH7 gene,C1425687,T028,1,70055,70056
Dnmt1,DNMT1 gene,C1414121,T028,1,56425,56426
DNA methyltransferase,DNMT1 gene,C1414121,T028,1,56428,56430
Dnmt1,DNMT1 gene,C1414121,T028,1,56468,56469
Dnmt1,DNMT1 gene,C1414121,T028,1,56484,56485
Dnmt1,DNMT1 gene,C1414121,T028,1,56517,56518
Dnmt1,DNMT1 gene,C1414121,T028,1,56526,56527
Dnmt1,DNMT1 gene,C1414121,T028,1,56534,56535
docks,Dock - Manufactured Object,C3668929,T073,1,29023,29024
incomplete,Document Completion - incomplete,C1548386,T078,1,57768,57769
document,Document type,C1547673,T170,1,36429,36430
carries,Does carry,C0699809,T033,1,27924,27925
steering,Does steer,C0553654,T033,1,23453,23454
turns,Does turn (finding),C0541749,T033,1,44778,44779
dominant,Dominant,C1527180,T169,1,23547,23548
dominant,Dominant,C1527180,T169,1,30816,30817
dominant,Dominant,C1527180,T169,1,37287,37288
dominant,Dominant,C1527180,T169,1,38612,38613
dominant,Dominant,C1527180,T169,1,55983,55984
dominant inheritance,dominant inheritance,C0678942,T045,1,64758,64760
dominant-negative,Dominant-Negative Mutation,C1512032,T049,0.908548,5022,5023
dominant-negative,Dominant-Negative Mutation,C1512032,T049,0.908548,5172,5173
dominant-negative,Dominant-Negative Mutation,C1512032,T049,0.908548,58284,58285
doses,Dosage,C0178602,T081,1,49038,49039
dosage,Dosage,C0178602,T081,1,62064,62065
detect,Dosing Days to Detection,C3891454,T079,1,39900,39901
detect,Dosing Days to Detection,C3891454,T079,1,51901,51902
Down syndrome,Down Syndrome,C0013080,T047,1,9000,9002
Down syndrome,Down Syndrome,C0013080,T047,1,9324,9326
Down syndrome,Down Syndrome,C0013080,T047,1,9888,9890
Down syndrome,Down Syndrome,C0013080,T047,1,9991,9993
Down syndrome,Down Syndrome,C0013080,T047,1,32442,32444
Down syndrome,Down Syndrome,C0013080,T047,1,32611,32613
Down syndrome,Down Syndrome,C0013080,T047,1,47874,47876
DS,Down Syndrome,C0013080,T047,1,47877,47878
DS,Down Syndrome,C0013080,T047,1,48063,48064
Down syndrome,Down Syndrome,C0013080,T047,1,54166,54168
Down syndrome,Down Syndrome,C0013080,T047,1,54397,54399
Down syndrome,Down Syndrome,C0013080,T047,1,60523,60525
down-regulation,Down-Regulation,C0013081,T044,1,1763,1764
down-regulation,Down-Regulation,C0013081,T044,1,2747,2748
down-regulated,Down-Regulation,C0013081,T044,0.895286,5755,5756
down-regulation,Down-Regulation,C0013081,T044,1,10571,10572
down-regulation,Down-Regulation,C0013081,T044,1,14275,14276
down-regulating,Down-Regulation,C0013081,T044,0.915161,19839,19840
downregulation,Down-Regulation,C0013081,T044,1,29701,29702
Down-regulation,Down-Regulation,C0013081,T044,1,40554,40555
downregulation,Down-Regulation,C0013081,T044,1,51042,51043
down-regulation,Down-Regulation,C0013081,T044,1,52254,52255
down-regulation,Down-Regulation,C0013081,T044,1,52388,52389
down-regulation,Down-Regulation,C0013081,T044,1,60778,60779
downregulation,Down-Regulation,C0013081,T044,1,63064,63065
downregulation,Down-Regulation,C0013081,T044,1,69641,69642
downstream,Downstream,C0522506,T082,1,22670,22671
downstream,Downstream,C0522506,T082,1,34020,34021
downstream,Downstream,C0522506,T082,1,43812,43813
downstream,Downstream,C0522506,T082,1,48692,48693
downstream,Downstream,C0522506,T082,1,55839,55840
downstream,Downstream,C0522506,T082,1,60386,60387
downstream,Downstream,C0522506,T082,1,63989,63990
downstream,Downstream,C0522506,T082,1,67346,67347
MBD1,DPEP1 gene,C1414134,T028,1,12455,12456
MBD1,DPEP1 gene,C1414134,T028,1,12569,12570
MBD1,DPEP1 gene,C1414134,T028,1,12584,12585
MBD1,DPEP1 gene,C1414134,T028,1,15182,15183
MBD1,DPEP1 gene,C1414134,T028,1,15240,15241
Mbd1,DPEP1 gene,C1414134,T028,1,15302,15303
MBD1,DPEP1 gene,C1414134,T028,1,30384,30385
MBD1,DPEP1 gene,C1414134,T028,1,30420,30421
DPEP3,DPEP3 gene,C1427862,T028,1,57301,57302
DPEP3,DPEP3 gene,C1427862,T028,1,57386,57387
DPEP3,DPEP3 gene,C1427862,T028,1,57391,57392
DPEP3,DPEP3 gene,C1427862,T028,1,57426,57427
dipeptidase 3,DPEP3 gene,C1427862,T028,1,69076,69078
Dpep3,DPEP3 gene,C1427862,T028,1,69079,69080
Dpep3,DPEP3 gene,C1427862,T028,1,69098,69099
Dpep3,DPEP3 gene,C1427862,T028,1,69190,69191
BAF45c,DPF3 gene,C1424962,T028,1,45215,45216
Drosophila,"Drosophila <fruit fly, genus>",C0013138,T204,1,24136,24137
Drosophila,"Drosophila <fruit fly, genus>",C0013138,T204,1,40625,40626
Drosophila,"Drosophila <fruit fly, genus>",C0013138,T204,1,66263,66264
Drosophila melanogaster,Drosophila melanogaster,C0013139,T204,1,7260,7262
drug targeting,Drug Delivery Systems,C0085104,T074,1,52659,52661
rational drug design,Drug Design,C0013171,T090,0.871365,13819,13822
drug-induced,Drug-induced,C0458082,T169,1,59549,59550
drugs,DRUGS,C3687832,T061,1,59536,59537
dual,Dual,C1554184,T008,1,9057,9058
dual,Dual,C1554184,T008,1,51841,51842
dual,Dual,C1554184,T008,1,54137,54138
psychiatric diagnoses,Dual diagnosis (psychiatry),C0206308,T033,0.904979,67216,67218
double,Duplicate,C0205173,T169,1,43397,43398
duplicates,Duplicate,C0205173,T169,1,50027,50028
duplicates,Duplicate,C0205173,T169,1,50046,50047
duplicated,Duplication (finding),C0332597,T169,1,50059,50060
duplications,Duplication (finding),C0332597,T169,1,62046,62047
duplications,Duplication (finding),C0332597,T169,1,62090,62091
duplication,Duplication (finding),C0332597,T169,1,62106,62107
duplications,Duplication (finding),C0332597,T169,1,62130,62131
period length,Duration of menstrual flow,C0425943,T033,1,53878,53880
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,23392,23393
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,30721,30722
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,30818,30819
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,39406,39407
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,39423,39424
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,39455,39456
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,39524,39525
dynactin,dynactin subunit 1,C0287134,"T116,T123",1,39548,39549
Dynactin,dynactin subunit 1,C0287134,"T116,T123",1,66963,66964
dynamic,Dynamic,C0729333,T169,1,34879,34880
dynamics,Dynamics,C3826426,T070,1,23437,23438
dynamics,Dynamics,C3826426,T070,1,29648,29649
dynamics,Dynamics,C3826426,T070,1,29792,29793
dynamics,Dynamics,C3826426,T070,1,37594,37595
dynamics,Dynamics,C3826426,T070,1,50881,50882
dynamics,Dynamics,C3826426,T070,1,59521,59522
dynamics,Dynamics,C3826426,T070,1,68192,68193
dynamics,Dynamics,C3826426,T070,1,68602,68603
dynamics,Dynamics,C3826426,T070,1,69270,69271
dynamics,Dynamics,C3826426,T070,1,69330,69331
dynein activity,dynein activity,C1622677,T044,1,35000,35002
dynein activity,dynein activity,C1622677,T044,1,39386,39388
dynein,Dynein ATPase,C0013352,"T116,T126",1,23326,23327
dynein,Dynein ATPase,C0013352,"T116,T126",1,30717,30718
dynein,Dynein ATPase,C0013352,"T116,T126",1,30846,30847
dynein,Dynein ATPase,C0013352,"T116,T126",1,32373,32374
dynein,Dynein ATPase,C0013352,"T116,T126",1,35009,35010
dynein,Dynein ATPase,C0013352,"T116,T126",1,35020,35021
dynein,Dynein ATPase,C0013352,"T116,T126",1,35083,35084
dynein,Dynein ATPase,C0013352,"T116,T126",1,37166,37167
dynein,Dynein ATPase,C0013352,"T116,T126",1,37260,37261
dynein,Dynein ATPase,C0013352,"T116,T126",1,37826,37827
dynein,Dynein ATPase,C0013352,"T116,T126",1,39421,39422
dynein,Dynein ATPase,C0013352,"T116,T126",1,39449,39450
dynein,Dynein ATPase,C0013352,"T116,T126",1,39507,39508
dynein,Dynein ATPase,C0013352,"T116,T126",1,40248,40249
dynein,Dynein ATPase,C0013352,"T116,T126",1,40329,40330
dynein,Dynein ATPase,C0013352,"T116,T126",1,40338,40339
dynein,Dynein ATPase,C0013352,"T116,T126",1,60828,60829
dynein,Dynein ATPase,C0013352,"T116,T126",1,60865,60866
dynein motor complex,Dynein complex,C1166789,T026,0.880002,39593,39596
Dynein Heavy chain 7,dynein heavy chain binding,C1149283,T044,0.86957,70034,70038
DYRK,DYRK1A gene,C1414204,T028,1,9025,9026
Dyrk gene,DYRK1A gene,C1414204,T028,0.905188,9054,9056
DYRK,DYRK1A gene,C1414204,T028,1,9114,9115
DYRK,DYRK1A gene,C1414204,T028,1,9154,9155
DYRK,DYRK1A gene,C1414204,T028,1,9194,9195
DYRK,DYRK1A gene,C1414204,T028,1,9314,9315
Dyrk gene,DYRK1A gene,C1414204,T028,0.905188,9849,9851
DYRK gene,DYRK1A gene,C1414204,T028,0.905188,9884,9886
Dyrk protein,DYRK1A gene,C1414204,T028,0.87125,9900,9902
Dyrk protein,DYRK1A gene,C1414204,T028,0.87125,9924,9926
Dyrk1A,DYRK1A gene,C1414204,T028,1,32405,32406
DYRK1A,DYRK1A gene,C1414204,T028,1,32438,32439
Dyrk1A,DYRK1A gene,C1414204,T028,1,32493,32494
Dyrk1A,DYRK1A gene,C1414204,T028,1,32518,32519
Dyrk1A,DYRK1A gene,C1414204,T028,1,32531,32532
Dyrk1A,DYRK1A gene,C1414204,T028,1,32548,32549
Dyrk1A,DYRK1A gene,C1414204,T028,1,32564,32565
Dyrk1A,DYRK1A gene,C1414204,T028,1,32569,32570
Dyrk1A,DYRK1A gene,C1414204,T028,1,32595,32596
DYRK1A,DYRK1A gene,C1414204,T028,1,32607,32608
dual-specificity tyrosine phosphorylation-regulated kinase 1A,DYRK1A gene,C1414204,T028,1,47839,47844
MNB,DYRK1A gene,C1414204,T028,1,47854,47855
DYRK1A,DYRK1A gene,C1414204,T028,1,47870,47871
DYRK1A,DYRK1A gene,C1414204,T028,1,47917,47918
DYRK1A,DYRK1A gene,C1414204,T028,1,47981,47982
DYRK1A,DYRK1A gene,C1414204,T028,1,47993,47994
DYRK1A,DYRK1A gene,C1414204,T028,1,48010,48011
Dyrk1A,DYRK1A gene,C1414204,T028,1,48025,48026
DYRK1A kinase,DYRK1A gene,C1414204,T028,0.897991,48045,48047
DYRK1A,DYRK1A gene,C1414204,T028,1,48057,48058
DYRK1A,DYRK1A gene,C1414204,T028,1,53803,53804
Dyrk1a,DYRK1A gene,C1414204,T028,1,53857,53858
Dyrk1a,DYRK1A gene,C1414204,T028,1,53897,53898
DYRK1A,DYRK1A gene,C1414204,T028,1,53911,53912
DYRK1A,DYRK1A gene,C1414204,T028,1,54134,54135
DYRK1A,DYRK1A gene,C1414204,T028,1,54180,54181
DYRK1A,DYRK1A gene,C1414204,T028,1,54196,54197
DYRK1A,DYRK1A gene,C1414204,T028,1,54218,54219
DYRK1A,DYRK1A gene,C1414204,T028,1,54260,54261
DYRK1A,DYRK1A gene,C1414204,T028,1,54320,54321
DYRK,DYRK1A gene,C1414204,T028,1,54372,54373
DYRK1A,DYRK1A gene,C1414204,T028,1,60560,60561
DYRK2,DYRK2 gene,C1414206,T028,1,60562,60563
DYRK3,DYRK3 gene,C1414207,T028,1,54228,54229
DYRK3,DYRK3 gene,C1414207,T028,1,54262,54263
DYRK3,DYRK3 gene,C1414207,T028,1,54322,54323
dysfunction,DYSFUNCTION - SKIN DISORDERS,C3887505,T047,1,63284,63285
E protein,e protein,C0599561,"T116,T123",1,45917,45919
protein interacting,E3 SUMO-Protein Ligase PIAS1,C3539609,"T116,T126",0.934043,37611,37613
early,Early,C1279919,T079,1,9,10
early,Early,C1279919,T079,1,2682,2683
early,Early,C1279919,T079,1,5363,5364
early,Early,C1279919,T079,1,5451,5452
early,Early,C1279919,T079,1,5496,5497
early,Early,C1279919,T079,1,6588,6589
early,Early,C1279919,T079,1,6753,6754
early,Early,C1279919,T079,1,6843,6844
early,Early,C1279919,T079,1,11476,11477
early,Early,C1279919,T079,1,16824,16825
early,Early,C1279919,T079,1,17417,17418
early,Early,C1279919,T079,1,18560,18561
early,Early,C1279919,T079,1,19461,19462
early,Early,C1279919,T079,1,20239,20240
early,Early,C1279919,T079,1,21188,21189
early,Early,C1279919,T079,1,28983,28984
early,Early,C1279919,T079,1,30849,30850
early,Early,C1279919,T079,1,33997,33998
early,Early,C1279919,T079,1,34170,34171
early,Early,C1279919,T079,1,44230,44231
early,Early,C1279919,T079,1,46801,46802
early,Early,C1279919,T079,1,48607,48608
early,Early,C1279919,T079,1,53202,53203
early,Early,C1279919,T079,1,61530,61531
early,Early,C1279919,T079,1,61691,61692
early,Early,C1279919,T079,1,63622,63623
early,Early,C1279919,T079,1,65525,65526
early lethal,Early lethal,C4315851,T033,1,20060,20062
early stages,Early stage,C2363430,T079,1,993,995
E-box,E-Box Elements,C0949655,"T114,T123",0.8687,9424,9425
E-box,E-Box Elements,C0949655,"T114,T123",0.8687,9459,9460
E-box,E-Box Elements,C0949655,"T114,T123",0.8687,9484,9485
E-cadherin,E-Cadherin,C0042172,"T116,T123",1,51292,51293
ectoderm,Ectoderm,C0013574,T018,1,45332,45333
ectopic,Ectopic,C0574895,T082,1,13453,13454
ectopic,Ectopic,C0574895,T082,1,19443,19444
Ectopic,Ectopic,C0574895,T082,1,61355,61356
oedema,Edema,C0013604,T184,1,3437,3438
oedema,Edema,C0013604,T184,1,20944,20945
EDTA,Edetic Acid,C0013618,"T109,T121",1,4000,4001
effects of,Effect,C1280500,T080,0.966163,9328,9330
effects,Effect,C1280500,T080,1,12830,12831
effects,Effect,C1280500,T080,1,25904,25905
effects,Effect,C1280500,T080,1,27744,27745
effect,Effect,C1280500,T080,1,29763,29764
effect,Effect,C1280500,T080,1,30210,30211
effect,Effect,C1280500,T080,1,32538,32539
effects,Effect,C1280500,T080,1,32556,32557
Cis effects,Effect,C1280500,T080,0.881519,33564,33566
cis effects,Effect,C1280500,T080,0.881519,36633,36635
effect,Effect,C1280500,T080,1,40501,40502
effect,Effect,C1280500,T080,1,41521,41522
effects of,Effect,C1280500,T080,0.966163,42725,42727
effect,Effect,C1280500,T080,1,45754,45755
effect,Effect,C1280500,T080,1,49040,49041
effects,Effect,C1280500,T080,1,49748,49749
effects,Effect,C1280500,T080,1,51134,51135
effects,Effect,C1280500,T080,1,51381,51382
effect,Effect,C1280500,T080,1,52340,52341
effect,Effect,C1280500,T080,1,53895,53896
effects of,Effect,C1280500,T080,0.966163,57911,57913
effect,Effect,C1280500,T080,1,61140,61141
effect,Effect,C1280500,T080,1,63720,63721
effect,Effect,C1280500,T080,1,64869,64870
effects of,Effect,C1280500,T080,0.966163,66297,66299
effective,Effective,C1704419,T080,1,2288,2289
efficacy,Efficacy Study,C1707887,T062,1,58668,58669
efficacy,Efficacy Study,C1707887,T062,1,58791,58792
efficiency,Efficiency,C0013682,T081,1,47111,47112
efficiency,Efficiency,C0013682,T081,1,47127,47128
efficiency,Efficiency,C0013682,T081,1,54841,54842
efficient,Efficient,C0442799,T080,1,21301,21302
efficient,Efficient,C0442799,T080,1,32584,32585
efficient,Efficient,C0442799,T080,1,48279,48280
efficient,Efficient,C0442799,T080,1,51085,51086
efficient,Efficient,C0442799,T080,1,64369,64370
epidermal growth factor-like domains,EGF Family of Proteins,C3849998,"T116,T123",0.888297,73,77
epidermal growth,EGF gene,C1367721,T028,0.883969,6463,6465
epidermal growth factor,EGF gene,C1367721,T028,1,6737,6740
epidermal growth factor,EGF gene,C1367721,T028,1,10869,10872
EGF,EGF gene,C1367721,T028,1,10873,10874
Epidermal growth factor,EGF gene,C1367721,T028,1,14395,14398
EGF,EGF gene,C1367721,T028,1,14399,14400
EGF,EGF gene,C1367721,T028,1,14428,14429
epidermal growth factor,EGF gene,C1367721,T028,1,25272,25275
epidermal growth factor,EGF gene,C1367721,T028,1,29432,29435
EGF-like,EGFL6 gene,C1333331,T028,0.954613,5768,5769
EGF-like,EGFL6 gene,C1333331,T028,0.954613,25296,25297
ErbB1,"EGFR protein, human",C1739039,"T116,T192",1,14405,14406
ERBB,EGFR wt Allele,C1706111,T028,1,29204,29205
ERBB,EGFR wt Allele,C1706111,T028,1,29228,29229
CaCh 1,EIF2B5 wt Allele,C1705452,T028,0.909682,1863,1865
CaCh 2,EIF2B5 wt Allele,C1705452,T028,0.886353,1871,1873
CaCh 1,EIF2B5 wt Allele,C1705452,T028,0.909682,1919,1921
CaCh 2,EIF2B5 wt Allele,C1705452,T028,0.886353,1922,1924
CaCh 3,EIF2B5 wt Allele,C1705452,T028,0.871244,1943,1945
CaCh 2,EIF2B5 wt Allele,C1705452,T028,0.886353,2059,2061
CaCh 3,EIF2B5 wt Allele,C1705452,T028,0.871244,2086,2088
CaCh 2,EIF2B5 wt Allele,C1705452,T028,0.886353,2113,2115
elastase activity,elastase activity,C1323717,T044,1,21915,21917
elastic fibres,Elastic Fibers,C0230899,T024,1,21796,21798
elastic fibre,Elastic Fibers,C0230899,T024,1,21858,21860
elastic fibres,Elastic Fibers,C0230899,T024,1,21922,21924
elastic fibres,Elastic Fibers,C0230899,T024,1,21929,21931
elastic fibres,Elastic Fibers,C0230899,T024,1,21960,21962
elastic fibres,Elastic Fibers,C0230899,T024,1,21971,21973
elasticity,elasticity,C0013764,T070,1,21784,21785
EST,Electroconvulsive Therapy,C0013806,T061,1,12129,12130
electron microscopy,Electron Microscopy,C0026019,T059,1,22407,22409
electron microscopy,Electron Microscopy,C0026019,T059,1,32050,32052
electron microscopy,Electron Microscopy,C0026019,T059,1,46493,46495
electron microscopy,Electron Microscopy,C0026019,T059,1,58901,58903
electron microscopy,Electron Microscopy,C0026019,T059,1,60172,60174
electron microscopy,Electron Microscopy,C0026019,T059,1,66718,66720
electrophoretic mobility shift assay,Electrophoretic Mobility Shift Assay,C0949632,T059,1,45871,45875
electrophysiology,Electrophysiology (science),C0013865,T091,1,58910,58911
electrophysiology,Electrophysiology (science),C0013865,T091,1,68960,68961
elements,Elements,C0013879,T196,1,50057,50058
elevated,Elevated,C3163633,T080,1,575,576
elevated,Elevated,C3163633,T080,1,14300,14301
elevated,Elevated,C3163633,T080,1,20144,20145
elevated,Elevated,C3163633,T080,1,51348,51349
elevated,Elevated,C3163633,T080,1,65462,65463
elevation,Elevation,C0702240,T082,1,24841,24842
elicit,Elicited by,C0449265,T080,1,31323,31324
2-Mb Williams-Beuren syndrome,ELN gene,C1414382,T028,0.882469,11530,11533
WBS,ELN gene,C1414382,T028,1,11534,11535
WBS,ELN gene,C1414382,T028,1,11545,11546
elastin,ELN gene,C1414382,T028,1,21821,21822
elastin,ELN gene,C1414382,T028,1,21910,21911
E12,ELSPBP1 gene,C1422634,T028,1,7959,7960
E12,ELSPBP1 gene,C1422634,T028,1,7976,7977
embryos,Embryo,C0013935,T018,1,104,105
embryos,Embryo,C0013935,T018,1,112,113
embryos,Embryo,C0013935,T018,1,128,129
embryonic day,Embryo,C0013935,T018,0.863879,135,137
embryonic,Embryo,C0013935,T018,1,823,824
mouse embryos,Embryo,C0013935,T018,0.862834,868,870
mouse embryos,Embryo,C0013935,T018,0.862834,1594,1596
Embryos,Embryo,C0013935,T018,1,3421,3422
embryos,Embryo,C0013935,T018,1,3447,3448
mouse embryos,Embryo,C0013935,T018,0.862834,3699,3701
embryonic,Embryo,C0013935,T018,1,4657,4658
embryonic,Embryo,C0013935,T018,1,4745,4746
embryonic,Embryo,C0013935,T018,1,4847,4848
embryonic,Embryo,C0013935,T018,1,4865,4866
embryo,Embryo,C0013935,T018,1,4879,4880
embryo,Embryo,C0013935,T018,1,4908,4909
mouse embryo,Embryo,C0013935,T018,0.861746,5206,5208
embryos,Embryo,C0013935,T018,1,5361,5362
embryos,Embryo,C0013935,T018,1,5498,5499
embryos,Embryo,C0013935,T018,1,5506,5507
embryo,Embryo,C0013935,T018,1,8046,8047
E,Embryo,C0013935,T018,0.863879,8926,8927
mouse embryos,Embryo,C0013935,T018,0.862834,9213,9215
mouse embryos,Embryo,C0013935,T018,0.862834,11372,11374
mouse embryo,Embryo,C0013935,T018,0.861746,11482,11484
embryos,Embryo,C0013935,T018,1,11647,11648
embryos,Embryo,C0013935,T018,1,11665,11666
embryonic,Embryo,C0013935,T018,1,11680,11681
embryonic,Embryo,C0013935,T018,1,11854,11855
embryonic day,Embryo,C0013935,T018,0.863879,11954,11956
E,Embryo,C0013935,T018,0.863879,11957,11958
mouse embryonic,Embryo,C0013935,T018,0.871667,12404,12406
embryonic day,Embryo,C0013935,T018,0.863879,12711,12713
embryos,Embryo,C0013935,T018,1,12745,12746
embryos,Embryo,C0013935,T018,1,12775,12776
